Site,lat,long,Bathymetry,Zone
317,-23.506193,152.065112,-0.983967,Lagoon 2
318,-23.508752,152.066481,-0.636612,Reef flat
319,-23.507934,152.066965,-0.7712,Reef flat
320,-23.506641,152.059761,-0.482887,Reef flat
321,-23.501667,152.050555,-0.899245,Lagoon 3
322,-23.50495,152.054527,-0.574644,Reef flat
323,-23.501499,152.047427,-1.057332,Lagoon 3
324,-23.500307,152.049703,-2.751389,Lagoon 3
325,-23.495961,152.046892,-1.006368,Reef flat
326,-23.495036,152.047351,-1.132564,Reef flat
327,-23.501677,152.042812,-1.518889,Reef flat
328,-23.503659,152.042633,-1.202925,Reef flat
329,-23.502613,152.075723,-3.293373,Lagoon 1
330,-23.501834,152.076951,-2.494498,Lagoon 1
331,-23.501152,152.077776,-1.379193,Lagoon 1
332,-23.500488,152.078785,-3.49421,Lagoon 1
333,-23.495888,152.082129,-1.668598,Lagoon 1
334,-23.496996,152.085657,-3.381726,Lagoon 1
335,-23.499445,152.087155,-2.971619,Lagoon 1
336,-23.501416,152.088215,-3.564692,Lagoon 1
337,-23.503622,152.088054,-1.391354,Lagoon 1
338,-23.505033,152.088216,-2.91356,Lagoon 1
339,-23.505771,152.087529,-1.033282,Lagoon 1
