lat lon wh time ws
-23.673159 154.96461 2.5330002 12143.295862539788 10.639999
-23.512001 154.10559 2.5995002 12145.294136917684 10.549999
-23.301083 154.9714 1.0585 12168.748125542537 5.135
-23.50409 154.11707 2.645 12170.746394675924 10.155
-23.51116 154.70386 2.575 12172.236809669761 8.9
-23.500154 154.71745 2.7840002 12197.689097222174 12.179999
-23.48906 154.42209 1.7080001 12201.177831759967 6.4799995
-23.506872 154.45618 1.7990001 12226.630105794291 7.1299996
-23.957443 154.99579 1.6785 12228.120584049902 9.59
-23.508335 154.1718 2.621 12230.118802185054 10.405
-23.006527 154.99466 0.97 12253.572980143246 5.2
-23.491367 154.17293 1.392 12255.57119764539 7.615
-23.48798 154.76834 1.1780001 12257.061574831372 3.33
-23.504923 154.78928 0.76900005 12282.51391484018 3.6299999
-23.512474 154.49153 2.2240002 12286.00264856941 4.42
-23.536861 154.5301 0.66300005 12311.45491545496 1.99
-23.487154 154.23395 0.8125 12314.94364881725 4.14
-23.487185 154.24701 2.6205 12340.395926558878 6.555
-23.508099 154.8485 2.196 12341.886303168372 3.6399999
-23.115686 154.01694 2.089 12343.884531069198 7.62
-23.50767 154.85785 1.4150001 12367.338551070658 8.15
-23.839779 154.02063 1.3920001 12369.336785165302 7.7599998
-23.497763 154.58455 1.166 12370.827231626143 5.79
-23.492004 154.59279 2.3820002 12396.279458459932 8.37
-23.487833 154.30615 1.3565001 12399.768178891798 7.7999997
-23.512844 154.3158 2.4615002 12425.220420351427 10.205
-23.50584 154.90268 1.8265 12426.710834418365 7.44
-23.391235 154.04073 2.176 12428.709114221623 9.41
-23.509842 154.92316 2.0500002 12452.163085756649 8.58
-23.531548 154.05165 2.344 12454.161384322564 11.08
-23.489481 154.64995 2.4750001 12455.651759259286 10.46
-23.500725 154.65858 2.696 12481.104078753386 7.97
-23.493324 154.37253 1.876 12484.592786096677 8.8
-23.512142 154.40292 2.4490001 12510.045057542564 9.825
-23.640686 154.9635 2.5430002 12511.535518482386 10.809999
-23.513056 154.1029 2.012 12513.533800817444 8.87
-23.216896 154.97241 1.9415002 12536.987810872437 7.83
-23.489946 154.12698 2.426 12538.986065086094 10.735
-23.508507 154.71916 2.127 12540.476462583174 8.47
-23.504005 154.72699 1.3665 12565.928731825086 2.9199998
-23.510742 154.45462 1.8310001 12569.4174077239 7.615
-23.501228 154.45297 3.4145002 12594.86966145836 13.8949995
-23.945816 154.99644 2.9020002 12596.360154441558 10.9
-23.503101 154.1695 2.779 12598.358372576651 7.2
-23.4866 154.18918 0.911 12623.810546694149 1.17
-23.513891 154.77734 1.83 12625.300968514872 5.29
-23.511654 154.78421 1.3845 12650.753197247512 6.225
-23.502806 154.50687 1.9580002 12654.241887523502 3.495
-23.504747 154.51878 1.2190001 12679.694144241861 7.83
-23.487387 154.23962 1.8470001 12683.18283664278 3.1499999
-23.496758 154.24692 0.768 12708.635157335084 4.64
-23.501827 154.82706 0.633 12710.125580478285 3.08
-23.023842 154.00452 2.3470001 12712.123796906671 10.24
-23.509838 154.87283 0.7645 12735.577835286444 5.01
-23.78465 154.02686 0.8155 12737.576094382966 6.745
-23.485472 154.57547 0.96900004 12739.066569123417 2.01
-23.499777 154.59314 0.938 12764.518904984114 5.74
-23.494328 154.31282 1.7015 12768.007592421665 9.84
-23.48818 154.32503 0.88400006 12793.459915364627 4.62
-23.503359 154.91983 1.5795001 12794.950302643934 6.745
-23.449211 154.05008 1.774 12796.948598813615 7.0899997
-23.512646 154.93578 1.9100001 12820.402581741917 6.89
-23.49052 154.05746 1.5220001 12822.400889214361 5.6099997
-23.490494 154.64209 1.6990001 12823.891313657397 3.87
-23.512978 154.66249 1.1445 12849.343549488229 2.5
-23.49672 154.3759 3.8190002 12852.832264539902 13.2699995
-23.490551 154.38199 1.314 12878.28453766997 5.96
-23.684233 154.96458 1.863 12879.77494755492 10.24
-23.501877 154.10727 2.08 12881.773222294578 9.26
-23.325596 154.96405 2.065 12905.227267026552 5.27
-23.49862 154.10849 2.1150002 12907.225537109363 7.5649996
-23.504776 154.69934 2.8695002 12908.715939037153 12.375
-23.49489 154.72083 1.4605 12934.168232037628 6.24
-23.494568 154.42426 1.385 12937.656970847805 8.545
-23.504526 154.45453 2.2585 12963.109264944564 9.934999
-23.95187 154.99326 2.0925002 12964.599749529792 7.3549995
-23.505733 154.16882 1.4555001 12966.597969744646 5.29
-23.512136 154.86757 1.641 12990.052530811401 5.46
-23.507013 154.40506 1.6420001 12993.541724898736 7.7599998
-23.509216 154.73422 1.9640001 13015.001403839735 9.41
-23.503603 154.21074 1.6850001 13018.490769675933 7.27
-23.506025 154.53806 1.807 13039.950417932589 7.5099998
-23.83556 154.98288 2.005 13041.441188964876 10.28
-23.275461 154.03372 1.7120001 13043.439762188937 6.42
-23.493843 154.31636 1.454 13064.899463704438 3.74
-23.512081 154.81126 0.966 13066.39014530892 4.0099998
-23.492495 154.09158 2.5180001 13089.848489764147 10.17
-23.486128 154.6017 1.825 13091.339141167584 6.73
-23.509813 154.38138 1.0270001 13116.288141637691 4.5899997
-23.485666 154.67651 1.2210001 13137.747778862831 5.7799997
-23.50198 154.1586 2.269 13141.237149477354 10.34
-23.509758 154.48112 1.641 13162.696726888069 7.23
-23.6546 154.95758 1.1800001 13164.18744470668 1.54
-23.098537 154.01015 1.5605001 13166.186007893877 7.0249996
-23.506048 154.27481 1.8285 13187.645716326719 8.82
-23.512543 154.77634 2.334 13189.136379586707 8.705
-23.511337 154.07236 2.045 13212.594705765368 7.96
-23.50235 154.57399 2.0770001 13214.08536903665 5.98
-23.502754 154.89417 1.195 13235.544979202794 6.54
-23.507544 154.37242 2.387 13239.034353032941 10.849999
-23.509447 154.68692 0.44400004 13260.493963216199 3.26
-23.49149 154.16855 1.697 13263.983331524883 8.705
-23.502602 154.48003 1.5555 13285.442919921887 6.875
-23.702559 154.96443 2.4620001 13286.933621419244 13.2699995
-23.171421 154.0129 2.3000002 13288.932190031861 9.63
    
-23.495243 154.77646 1.4115001 13311.882534360571 3.735
-23.52075 154.05281 2.0770001 13335.34081696684 6.48
-23.501146 154.5534 2.0630002 13336.831501916982 7.72
-23.49176 154.8642 1.0840001 13358.291046639904 6.68
-23.489697 154.34952 0.73100007 13361.780415039102 4.33
-23.510511 154.65518 1.4790001 13383.239992427116 6.2599998
    
-23.50964 154.46756 1.7730001 13408.188905436196 5.64
-23.637346 154.95752 1.9420002 13409.679590567132 4.8199997
-23.06131 154.00854 1.143 13411.678159179632 5.39
-23.499298 154.26283 0.795 13433.137900367961 2.4199998
-23.512138 154.75912 1.154 13434.62857458042 4.73
-23.503506 154.05627 2.0370002 13458.086933492043 6.015
-23.496386 154.54005 1.241 13459.577634910354 6.1
-23.513292 154.87788 2.051 13481.037256040261 5.44
-23.500278 154.35233 1.0780001 13484.526629864704 6.2599998
-23.50405 154.66977 1.1060001 13505.986311035114 2.48
    
-23.495125 154.45554 2.2035 13530.935371455445 5.875
-23.549618 154.94922 1.97 13532.426045600034 7.79
-23.506907 154.24611 3.1430001 13555.884404658573 9.59
-23.495983 154.73416 3.7440002 13557.375100549776 12.07
-23.046843 154.99884 1.5330001 13578.834830909967 8.09
-23.564848 154.04489 1.8220001 13580.833410373307 6.3999996
-23.491394 154.52647 1.6420001 13582.324117296026 6.15
-23.48637 154.83682 1.9920001 13603.783776584198 5.46
-23.491798 154.32562 1.5495 13607.273117675795 7.5899997
-23.513922 154.63556 3.3365002 13628.732804271567 12.135
-23.505398 154.12146 2.38 13632.222145363165 10.2
-23.509588 154.43008 4.248 13653.681870117201 16.0
-23.494312 154.9136 3.5215 13655.172560718667 10.32
-23.491158 154.43799 2.523 13678.63037380646 8.15
-23.5629 154.95201 1.868 13680.120965971786 6.1949997
-23.307896 154.03003 1.5075002 13682.119436340348 6.665
-23.488932 154.49342 1.5830001 13703.578768084524 3.32
-23.63195 154.96451 2.697 13705.069469525362 7.9399996
-23.11053 154.01373 2.2445002 13707.06804907904 9.934999
-23.5076 154.29239 1.1435001 13728.52787764935 6.1549997
-23.487272 154.78177 0.901 13730.0185463347 4.71
-23.488031 154.07545 2.0960002 13753.477009096532 10.099999
-23.490871 154.56348 1.8295001 13754.967688621196 7.975
-23.502668 154.88307 0.846 13776.427391673904 4.75
-23.48657 154.35754 1.077 13779.916765408008 4.89
-23.504105 154.67825 2.016 13801.376424786577 2.895
-23.505966 154.15698 1.9915001 13804.865787670016 8.184999
-23.48708 154.46248 2.0530002 13826.32545789925 10.07
-23.58432 154.95514 2.536 13827.816132089123 9.49
-23.036144 154.00562 1.4560001 13829.814700701623 7.2999997
-23.505281 154.26627 3.3490002 13851.274431016762 12.34
-23.491285 154.76207 1.843 13852.765105070896 4.5099998
-23.48827 154.05453 2.7150002 13876.2234532109 11.17
-23.510975 154.54053 3.0235002 13877.714149215142 10.83
-23.496109 154.8698 2.384 13899.173775770352 8.72
    
-23.492035 154.151 1.309 13927.612166341161 6.77
-23.490435 154.45872 1.2270001 13949.071896622307 6.45
-23.517126 154.9488 0.94000006 13950.562570710317 5.0099998
-23.499897 154.25003 2.0085 13974.02096251311 5.94
-23.485964 154.73611 1.4920001 13975.511653012829 6.89
-23.025745 154.99776 2.6520002 13996.971416015644 7.33
-23.59209 154.05034 1.7870001 13998.969984809053 6.23
-23.51104 154.52582 1.3290001 14000.460697111906 4.535
-23.497774 154.84088 2.025 14021.920334563125 9.33
-23.497025 154.32755 1.2250001 14025.409681079967 5.98
-23.488016 154.64291 1.2 14046.869285843452 7.46
-23.500683 154.13464 1.4200001 14050.358621374064 6.14
-23.511444 154.43625 2.6415 14071.818253399862 11.68
-23.509693 154.93141 2.335 14073.308933015098 11.0199995
-23.495169 154.23486 2.407 14096.767210105667 10.17
-23.496412 154.7277 1.914 14098.257895191316 9.36
-23.04283 154.99438 1.9160001 14119.7176036241 6.8599997
-23.568354 154.04506 1.0480001 14121.716172236716 4.5099998
    
-23.51318 154.8432 3.492 14144.666543873027 13.33
-23.50716 154.32162 1.5250001 14148.155901376216 4.125
-23.50135 154.6435 2.5435002 14169.615598958335 10.105
-23.49648 154.11343 1.149 14173.104978185613 1.51
-23.495089 154.43517 1.8310001 14194.564697627327 7.04
-23.48555 154.91559 1.4310001 14196.055393552408 3.26
-23.500969 154.2326 1.7850001 14219.513779839384 9.53
-23.507025 154.71274 2.818 14221.004475820344 10.98
-23.108873 154.98718 0.86100006 14242.464266176568 3.44
-23.498207 152.73857 1.7240001 9344.08506357827 9.99
-23.497738 152.48479 1.5605001 9373.026050092943 8.0199995
    
-23.493263 152.8187 0.81700003 9428.90972258395 4.85
-23.504488 152.55273 3.0235002 9457.850627803127 12.545
    
-23.498314 152.90009 1.1155 9513.734092429862 5.385
-23.500275 152.60152 2.0760002 9542.675114293932 7.41
-23.49276 152.64116 2.253 9568.127331904601 8.86
    
-23.49068 152.3733 1.044 9597.068344896077 1.38
-23.64389 152.96277 0.84400004 9598.558727936877 4.1949997
-23.256117 152.12932 1.343 9600.556963975658 7.0499997
-23.415127 152.956 1.21 9624.011105889222 5.37
-23.781801 152.12126 0.633 9626.009341752739 4.96
